FolioUrn,Sequence,Label,DefaultImage
urn:cite:musicmss:sg339.94,94,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 94.",urn:cite:musicmss:sg339.94
urn:cite:musicmss:sg339.95,95,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 95.",urn:cite:musicmss:sg339.95
urn:cite:musicmss:sg339.96,96,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 96.",urn:cite:musicmss:sg339.96
urn:cite:musicmss:sg339.97,97,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 97.",urn:cite:musicmss:sg339.97
urn:cite:musicmss:sg339.98,98,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 98.",urn:cite:musicmss:sg339.98
urn:cite:musicmss:sg339.99,99,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 99.",urn:cite:musicmss:sg339.99
urn:cite:musicmss:sg339.100,100,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 100.",urn:cite:musicmss:sg339.100
urn:cite:musicmss:sg339.101,101,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 101.",urn:cite:musicmss:sg339.101
urn:cite:musicmss:sg339.102,102,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 102.",urn:cite:musicmss:sg339.102
urn:cite:musicmss:sg339.103,103,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 103.",urn:cite:musicmss:sg339.103
urn:cite:musicmss:sg339.104,104,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 104.",urn:cite:musicmss:sg339.104
urn:cite:musicmss:sg339.105,105,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 105.",urn:cite:musicmss:sg339.105
urn:cite:musicmss:sg339.106,106,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 106.",urn:cite:musicmss:sg339.106
urn:cite:musicmss:sg339.107,107,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 107.",urn:cite:musicmss:sg339.107
urn:cite:musicmss:sg339.108,108,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 108.",urn:cite:musicmss:sg339.108
urn:cite:musicmss:sg339.109,109,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 109.",urn:cite:musicmss:sg339.109
urn:cite:musicmss:sg339.110,110,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 110.",urn:cite:musicmss:sg339.110
urn:cite:musicmss:sg339.111,111,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 111.",urn:cite:musicmss:sg339.111
urn:cite:musicmss:sg339.112,112,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 112.",urn:cite:musicmss:sg339.112
urn:cite:musicmss:sg339.113,113,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 113.",urn:cite:musicmss:sg339.113
urn:cite:musicmss:sg339.114,114,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 114.",urn:cite:musicmss:sg339.114
urn:cite:musicmss:sg339.115,115,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 115.",urn:cite:musicmss:sg339.115
urn:cite:musicmss:sg339.116,116,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 116.",urn:cite:musicmss:sg339.116
urn:cite:musicmss:sg339.117,117,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 117.",urn:cite:musicmss:sg339.117
urn:cite:musicmss:sg339.118,118,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 118.",urn:cite:musicmss:sg339.118
urn:cite:musicmss:sg339.119,119,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 119.",urn:cite:musicmss:sg339.119
urn:cite:musicmss:sg339.120,120,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 120.",urn:cite:musicmss:sg339.120
urn:cite:musicmss:sg339.121,121,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 121.",urn:cite:musicmss:sg339.121
urn:cite:musicmss:sg339.122,122,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 122.",urn:cite:musicmss:sg339.122
urn:cite:musicmss:sg339.123,123,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 123.",urn:cite:musicmss:sg339.123
urn:cite:musicmss:sg339.124,124,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 124.",urn:cite:musicmss:sg339.124
urn:cite:musicmss:sg339.125,125,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 125.",urn:cite:musicmss:sg339.125
urn:cite:musicmss:sg339.126,126,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 126.",urn:cite:musicmss:sg339.126
urn:cite:musicmss:sg339.127,127,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 127.",urn:cite:musicmss:sg339.127
urn:cite:musicmss:sg339.128,128,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 128.",urn:cite:musicmss:sg339.128
urn:cite:musicmss:sg339.129,129,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 129.",urn:cite:musicmss:sg339.129
urn:cite:musicmss:sg339.130,130,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 130.",urn:cite:musicmss:sg339.130
urn:cite:musicmss:sg339.131,131,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 131.",urn:cite:musicmss:sg339.131
urn:cite:musicmss:sg339.132,132,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 132.",urn:cite:musicmss:sg339.132
urn:cite:musicmss:sg339.133,133,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 133.",urn:cite:musicmss:sg339.133
urn:cite:musicmss:sg339.134,134,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 134.",urn:cite:musicmss:sg339.134
urn:cite:musicmss:sg339.135,135,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 135.",urn:cite:musicmss:sg339.135
urn:cite:musicmss:sg339.136,136,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 136.",urn:cite:musicmss:sg339.136
urn:cite:musicmss:sg339.137,137,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 137.",urn:cite:musicmss:sg339.137
urn:cite:musicmss:sg339.138,138,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 138.",urn:cite:musicmss:sg339.138
urn:cite:musicmss:sg339.139,139,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 139.",urn:cite:musicmss:sg339.139
urn:cite:musicmss:sg339.140,140,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 140.",urn:cite:musicmss:sg339.140
urn:cite:musicmss:sg339.141,141,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 141.",urn:cite:musicmss:sg339.141
